date,ticker,actual,forecast
2023-06-02,AMZN,179.39119,177.61293
2023-06-05,AMZN,178.03296,178.50665
2023-06-06,AMZN,177.66617,177.19716
2023-06-07,AMZN,176.28813,176.79971
2023-06-08,AMZN,179.01445,175.49693
2023-06-09,AMZN,179.40112,178.09586
2023-06-12,AMZN,182.2067,178.51808
2023-06-13,AMZN,181.73085,181.23466
2023-06-14,AMZN,182.36533,180.77551
2023-06-15,AMZN,184.40758,181.39699
2023-06-16,AMZN,183.32698,183.45186
2023-06-20,AMZN,183.4162,182.36443
2023-06-21,AMZN,182.37523,182.43852
2023-06-22,AMZN,185.38905,181.42157
2023-06-23,AMZN,185.07181,184.41417
2023-06-26,AMZN,183.67397,184.11021
2023-06-27,AMZN,186.43991,182.68744
2023-06-28,AMZN,187.61969,185.46245
2023-06-29,AMZN,187.95676,186.66266
2023-06-30,AMZN,192.29901,186.95206
2023-07-03,AMZN,190.80202,191.31108
2023-07-05,AMZN,189.68173,189.72362
2023-07-06,AMZN,190.15762,188.57323
2023-07-07,AMZN,189.03735,189.15166
2023-07-10,AMZN,186.9852,188.04147
2023-07-11,AMZN,186.45978,185.94292
2023-07-12,AMZN,188.13521,185.4775
2023-07-13,AMZN,188.89856,187.20175
2023-07-14,AMZN,189.04727,187.92339
2023-07-17,AMZN,192.31883,188.03468
2023-07-18,AMZN,192.06108,191.35654
2023-07-19,AMZN,193.41927,191.0601
2023-07-20,AMZN,191.46626,192.42145
2023-07-21,AMZN,190.28651,190.41734
2023-07-24,AMZN,191.0895,189.23314
2023-07-25,AMZN,191.95203,190.1315
2023-07-26,AMZN,192.82445,190.99028
2023-07-27,AMZN,191.55548,191.8354
2023-07-28,AMZN,194.14299,190.5189
2023-07-31,AMZN,194.75764,193.1627
2023-08-01,AMZN,193.9249,193.7965
2023-08-02,AMZN,190.92099,192.85661
2023-08-03,AMZN,189.52315,189.78969
2023-08-04,AMZN,180.42223,188.42424
2023-08-07,AMZN,177.30928,179.20528
2023-08-08,AMZN,178.2511,176.26553
2023-08-09,AMZN,176.65497,177.17267
2023-08-10,AMZN,176.43683,175.6163
2023-08-11,AMZN,176.4964,175.36348
2023-08-14,AMZN,178.15427,175.39816
2023-08-15,AMZN,176.15887,177.00356
2023-08-16,AMZN,175.28528,175.0981
2023-08-17,AMZN,172.734,174.25577
2023-08-18,AMZN,173.22043,171.93396
2023-08-21,AMZN,174.56061,172.2808
2023-08-22,AMZN,175.94049,173.55229
2023-08-23,AMZN,179.80219,174.88011
2023-08-24,AMZN,175.09668,178.63219
2023-08-25,AMZN,177.31046,174.11974
2023-08-28,AMZN,178.87895,176.20609
2023-08-29,AMZN,182.78035,177.80112
2023-08-30,AMZN,186.28467,181.6138
2023-08-31,AMZN,186.50307,185.08469
2023-09-01,AMZN,188.08151,185.28212
2023-09-05,AMZN,188.31976,186.84221
2023-09-06,AMZN,181.57918,187.119
2023-09-07,AMZN,176.26808,180.44466
2023-09-08,AMZN,176.88356,175.37901
2023-09-11,AMZN,178.05501,176.00943
2023-09-12,AMZN,175.01726,177.08536
2023-09-13,AMZN,172.94246,174.14409
2023-09-14,AMZN,174.46133,172.15672
2023-09-15,AMZN,173.73663,173.51338
2023-09-18,AMZN,176.6751,172.85237
2023-09-19,AMZN,177.7671,175.65443
2023-09-20,AMZN,174.21317,176.72456
2023-09-21,AMZN,172.66449,173.32315
2023-09-22,AMZN,173.51823,171.84149
2023-09-25,AMZN,174.79887,172.64857
2023-09-26,AMZN,170.70885,173.84087
2023-09-27,AMZN,169.18997,169.96512
2023-09-28,AMZN,169.44806,168.44136
2023-09-29,AMZN,169.96428,168.66252
2023-10-02,AMZN,172.4858,169.19218
2023-10-03,AMZN,171.14561,171.55327
2023-10-04,AMZN,172.39647,170.39264
2023-10-05,AMZN,173.63734,171.50632
2023-10-06,AMZN,176.19862,172.70982
2023-10-09,AMZN,177.68768,175.17088
2023-10-10,AMZN,177.09203,176.63795
2023-10-11,AMZN,178.49179,176.08852
2023-10-12,AMZN,179.39517,177.43741
2023-10-13,AMZN,177.5487,178.36812
2023-10-16,AMZN,177.41965,176.585
2023-10-17,AMZN,175.86105,176.4384
2023-10-18,AMZN,174.56061,174.94643
2023-10-19,AMZN,174.18338,173.70638
2023-10-20,AMZN,171.62215,173.34575
2023-10-23,AMZN,171.74127,170.8852
2023-10-24,AMZN,172.17809,170.95242
2023-10-25,AMZN,169.8551,171.29774
2023-10-26,AMZN,165.67572,169.05089
2023-10-27,AMZN,166.99602,164.96751
2023-10-30,AMZN,169.05096,166.18848
2023-10-31,AMZN,169.52748,168.2249
2023-11-01,AMZN,172.70422,168.66927
2023-11-02,AMZN,176.27802,171.71388
2023-11-03,AMZN,175.3647,175.23592
2023-11-06,AMZN,177.92592,174.33879
2023-11-07,AMZN,180.49712,176.85979
2023-11-08,AMZN,181.55931,179.42632
2023-11-09,AMZN,181.0828,180.46985
2023-11-10,AMZN,185.28754,180.00157
2023-11-13,AMZN,183.6971,184.16129
2023-11-14,AMZN,186.32137,182.56412
2023-11-15,AMZN,186.88795,185.14618
2023-11-16,AMZN,188.57782,185.74394
2023-11-17,AMZN,188.5579,187.37495
2023-11-20,AMZN,190.30742,187.33658
2023-11-21,AMZN,189.50224,189.07022
2023-11-22,AMZN,190.16824,188.24527
2023-11-24,AMZN,188.83624,188.90727
2023-11-27,AMZN,188.65732,187.5866
2023-11-28,AMZN,189.26367,187.43126
2023-11-29,AMZN,188.23982,188.07388
2023-11-30,AMZN,188.81638,187.03998
2023-12-01,AMZN,190.09866,187.62093
2023-12-04,AMZN,188.29947,188.93254
2023-12-05,AMZN,192.26566,187.09488
2023-12-06,AMZN,191.17223,191.07915
2023-12-07,AMZN,193.11058,189.99405
2023-12-08,AMZN,194.54199,191.88977
2023-12-11,AMZN,192.02707,193.37923
2023-12-12,AMZN,193.54799,190.77998
2023-12-13,AMZN,196.77856,192.35938
2023-12-14,AMZN,196.92767,195.7083
2023-12-15,AMZN,196.3909,195.7796
2023-12-18,AMZN,194.72092,195.16743
2023-12-19,AMZN,195.76466,193.53685
2023-12-20,AMZN,193.66725,194.65163
2023-12-21,AMZN,193.51813,192.50525
2023-12-22,AMZN,192.44458,192.34718
2023-12-26,AMZN,191.89789,191.29349
2023-12-27,AMZN,191.99725,190.7137
2023-12-28,AMZN,192.42473,190.82167
2023-12-29,AMZN,191.38097,191.30492
2024-01-02,AMZN,184.53209,190.17857
2024-01-03,AMZN,183.15038,183.05753
2024-01-04,AMZN,180.82437,181.86548
2024-01-05,AMZN,180.09868,179.62587
2024-01-08,AMZN,184.45256,178.87422
2024-01-09,AMZN,184.03508,183.1942
2024-01-10,AMZN,185.0788,182.74403
2024-01-11,AMZN,184.48236,183.7571
2024-01-12,AMZN,184.81042,183.20255
2024-01-16,AMZN,182.53409,183.54019
2024-01-17,AMZN,181.58974,181.2515
2024-01-18,AMZN,187.50424,180.35335
2024-01-19,AMZN,190.41676,186.33406
2024-01-22,AMZN,192.73283,189.23683
2024-01-23,AMZN,194.01514,191.45308
2024-01-24,AMZN,193.33922,192.7318
2024-01-25,AMZN,193.01117,192.06288
